,year,manufacturer,model,condition,cylinders,fuel,title_status,transmission,drive,size,type,paint_color,state,price_log,odometer_log
82666,2014,toyota,tundra crewmax sr5 4x4,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,truck,silver,co,9.998752276761909,11.82826890961319
349931,2008,toyota,tundra,like new,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,silver,tx,9.680031452383618,11.765309321209156
253795,2007,lexus,es350,good,6 cylinders,gas,clean,automatic,fwd,full-size,sedan,custom,tx,8.980927207648378,11.521488695630715
277732,2007,ram,2500,good,6 cylinders,diesel,clean,automatic,4wd,full-size,truck,grey,fl,9.61547209118311,12.760311144584346
285870,2010,toyota,prius,like new,4 cylinders,hybrid,clean,automatic,fwd,full-size,hatchback,red,wa,8.85366542803745,11.543144243554226
413636,2008,lexus,is f,excellent,8 cylinders,gas,clean,automatic,rwd,sub-compact,sedan,grey,ca,9.85214162518454,11.819365501600576
357193,2007,chevrolet,silverado 1500 lt x-c,good,8 cylinders,gas,clean,automatic,rwd,full-size,pickup,black,al,9.205327830152639,11.689932926940415
161903,2013,hyundai,elantra,like new,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,grey,fl,8.68270762989381,11.695330351625486
354564,2010,nissan,armada platinum 4x4,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,white,ny,9.209840246934501,12.037713163752274
82336,2011,honda,odyssey,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,mini-van,silver,co,8.888618807300878,12.338380790292002
188413,2015,gmc,sierra denali 4x4 duramax,good,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,black,nm,10.43396873396056,11.944772814352511
39895,2007,subaru,forester,excellent,4 cylinders,gas,clean,automatic,4wd,mid-size,wagon,silver,ny,8.400659375160286,11.849469127611972
301423,2017,ford,f-150 f150,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,silver,ga,10.16199824768763,10.933285525203878
35677,2006,ram,1500,excellent,8 cylinders,gas,clean,automatic,4wd,mid-size,truck,red,ny,9.190035618635818,11.775366649556215
194073,2008,ford,escape,good,4 cylinders,gas,clean,automatic,4wd,compact,hatchback,silver,ma,9.035986984831405,11.564825075510985
186019,2009,lexus,rx350 110k miles,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,SUV,blue,fl,9.148464968258095,11.608326549733482
193000,2017,chevrolet,trax lt,excellent,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,black,ny,9.679718805828,9.754581429281577
455106,2004,chevrolet,tahoe z71 4x4,good,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,grey,il,8.330863613224745,12.22837215302494
445701,2010,nissan,rogue s awd,excellent,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,blue,va,8.516192691082654,11.738019113608052
253418,2008,toyota,tundra,like new,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,silver,tx,9.680031452383618,11.765309321209156
383602,2008,subaru,impreza,excellent,4 cylinders,gas,clean,manual,4wd,compact,sedan,white,oh,8.34212526333359,11.996357281201425
167447,2008,ford,ranger xlt,excellent,6 cylinders,gas,clean,automatic,rwd,sub-compact,pickup,white,tx,8.699514748210191,12.001566827600335
226351,2019,ford,escape,new,4 cylinders,gas,lien,automatic,4wd,mid-size,SUV,red,mi,10.043249494911286,9.39349491507403
63443,2003,chevrolet,suburban,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,white,tx,8.411832675758411,12.315518803572951
49404,2004,ford,taurus,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,sedan,blue,pa,8.006367567650246,11.28990690584417
223144,2011,chevrolet,cruze lt,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,red,or,8.986571625268054,10.571573302500703
354877,2015,chevrolet,malibu ls fleet,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,grey,mo,8.915969311373605,11.896199495704868
500090,2013,chevrolet,traverse ls,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,SUV,silver,sc,9.209840246934501,11.436465498275332
346646,2017,honda,civic coupe exl,excellent,4 cylinders,gas,clean,automatic,fwd,mid-size,coupe,blue,al,9.846917201047734,9.825904317877749
70881,2007,volkswagen,rabbit,good,5 cylinders,gas,clean,manual,fwd,mid-size,hatchback,black,ri,8.160232492367689,11.956289900765796
242711,2016,chevrolet,colorado,good,6 cylinders,gas,clean,automatic,4wd,full-size,truck,grey,mi,9.877913301416697,11.09669764611769
366683,2002,bmw,3 series,good,6 cylinders,gas,clean,manual,4wd,mid-size,sedan,grey,or,8.922658299524402,11.652774360086626
78116,2014,toyota,rav4,excellent,4 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,vt,9.495519314209846,11.755408791383024
338649,2017,gmc,sierra 1500,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,brown,tx,10.46296047312364,11.526246346753071
523749,2014,chevrolet,impala lt,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,sedan,silver,sd,9.259130536145614,11.462663217818122
536511,2011,honda,accord,like new,4 cylinders,gas,clean,automatic,fwd,mid-size,sedan,silver,ia,8.987071812848821,11.208856524867436
395635,2011,chevrolet,camaro,excellent,6 cylinders,gas,clean,automatic,rwd,mid-size,coupe,yellow,ok,7.600902459542082,11.75418394570961
394608,2011,chevrolet,equinox lt awd,good,6 cylinders,gas,rebuilt,automatic,4wd,mid-size,SUV,grey,mt,8.987071812848821,11.982741576635641
506181,2002,mercury,grand marquis,good,8 cylinders,gas,clean,automatic,rwd,full-size,sedan,white,la,8.294049640102028,11.802096428473428
34208,2007,chevrolet,trailblazer,good,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,blue,ny,8.516192691082654,11.824358243142713
418011,2005,mercedes-benz,sl65 amg,like new,12 cylinders,gas,clean,automatic,rwd,compact,convertible,silver,ca,10.595383951194421,10.324169626449153
35837,2007,jeep,wrangler,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,tx,10.596609732783568,11.78683817333601
83179,2007,gmc,yukon,good,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,blue,ne,8.974618038455112,11.973282717164158
102450,2019,ford,f-350 roustabout,new,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,white,tx,10.93131965914319,8.701180027529253
328978,2010,subaru,forester,excellent,4 cylinders,gas,clean,automatic,4wd,full-size,SUV,custom,or,8.987071812848821,11.992322339232558
489564,2011,bmw,550i xdrive sport,excellent,8 cylinders,gas,clean,automatic,4wd,full-size,sedan,grey,ri,9.546455401949554,11.324497300744472
404469,2014,honda,odyssey,good,6 cylinders,gas,clean,automatic,fwd,full-size,mini-van,grey,nc,9.371523409567573,11.98665340037014
295715,2012,nissan,murano sl awd,good,6 cylinders,gas,clean,automatic,4wd,full-size,SUV,red,ga,8.465899897028686,12.007682680557155
158425,2007,dodge,grand caravan,excellent,6 cylinders,gas,clean,automatic,fwd,mid-size,mini-van,silver,fl,8.507142855562735,11.461737428200795
30868,2015,chrysler,town & country touring,good,6 cylinders,gas,clean,automatic,fwd,full-size,mini-van,red,co,9.159047077588632,11.510432359764517
400179,2012,toyota,avalon,good,6 cylinders,gas,clean,automatic,fwd,full-size,sedan,silver,ok,9.464982590349763,10.545604561983295
454575,2008,volkswagen,rabbit,excellent,5 cylinders,gas,clean,manual,fwd,compact,hatchback,blue,il,8.366370301681654,11.42481530271893
66664,2011,subaru,forester 2.5x awd,good,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,green,wi,8.99961934066053,11.781317678637583
423931,2016,ford,mustang,like new,8 cylinders,gas,salvage,manual,rwd,sub-compact,coupe,blue,tx,10.043249494911286,9.852720435482475
434717,2005,toyota,camry,excellent,4 cylinders,gas,clean,automatic,fwd,full-size,sedan,silver,pa,8.268731832117737,11.842301151971139
294784,2013,cadillac,escalade,like new,8 cylinders,gas,clean,automatic,4wd,full-size,SUV,silver,wi,10.042161947223887,11.402853869582282
220250,2010,mercedes-benz,c300,good,6 cylinders,gas,clean,automatic,rwd,sub-compact,sedan,white,tn,8.516192691082654,12.12274538294042
519749,2011,ford,escape xlt,excellent,6 cylinders,gas,clean,automatic,fwd,full-size,SUV,white,mi,9.099408811268901,11.176193194543156
295902,2007,acura,rdx sh-awd w/tech,good,4 cylinders,gas,clean,automatic,4wd,mid-size,SUV,black,ga,8.411832675758411,11.964064776569566
493937,2003,ford,explorer sport xlt,fair,4 cylinders,gas,clean,automatic,4wd,compact,SUV,green,sc,7.600902459542082,12.172981110529975
310932,2004,ford,escape xlt,like new,6 cylinders,gas,clean,automatic,4wd,mid-size,SUV,red,mn,8.216088098632316,12.026832336812001
510475,2007,dodge,nitro,like new,6 cylinders,gas,clean,automatic,rwd,full-size,SUV,silver,tx,8.698681067461614,11.76117520187829
346350,2013,ford,f-150,excellent,6 cylinders,gas,clean,automatic,4wd,full-size,pickup,white,tn,10.03889218954233,11.380992793709403
457048,2016,ford,f-150,like new,6 cylinders,gas,clean,automatic,4wd,full-size,truck,red,ca,10.518592107258032,10.631953613220428
21936,2006,bmw,750i,excellent,8 cylinders,gas,clean,automatic,rwd,full-size,sedan,grey,ms,8.648221453822641,11.770130288537443
299687,2014,chevrolet,silverado 2500hd 4x4,like new,8 cylinders,diesel,clean,automatic,4wd,full-size,truck,black,ga,10.236381967809457,12.025808969845663
374305,2016,chevrolet,silverado 2500hd 4x4,like new,8 cylinders,gas,clean,automatic,4wd,full-size,pickup,white,mo,10.448714603019452,10.896924493586937
378920,2016,ram,3500,excellent,6 cylinders,diesel,clean,automatic,4wd,full-size,truck,custom,ny,10.596609732783568,11.204618827524007
109660,2005,gmc,savana,good,8 cylinders,gas,clean,automatic,rwd,full-size,van,custom,az,8.292798858200374,12.45993161150523
